#,Date Time,Low Range (μS/cm) c:1 3,Temp (°C) c:3,Specific Conductance (μS/cm)
1,07/30/15 00:00:00,62.22,16.28,75.8
2,07/30/15 00:00:30,62.15,16.27,75.7
3,07/30/15 00:01:00,62.22,16.28,75.8
4,07/30/15 00:01:30,62.22,16.27,75.8
5,07/30/15 00:02:00,62.22,16.27,75.8
6,07/30/15 00:02:30,62.15,16.27,75.7
7,07/30/15 00:03:00,62.07,16.27,75.6
8,07/30/15 00:03:30,62.22,16.27,75.8
9,07/30/15 00:04:00,62.07,16.27,75.6
10,07/30/15 00:04:30,62.22,16.25,75.8
11,07/30/15 00:05:00,62.15,16.25,75.7
12,07/30/15 00:05:30,62.08,16.25,75.6
13,07/30/15 00:06:00,62.08,16.25,75.6
14,07/30/15 00:06:30,62.08,16.25,75.6
15,07/30/15 00:07:00,62.08,16.25,75.6
16,07/30/15 00:07:30,62.08,16.25,75.6
17,07/30/15 00:08:00,62.22,16.25,75.8
18,07/30/15 00:08:30,62.08,16.24,75.7
19,07/30/15 00:09:00,62.08,16.24,75.7
20,07/30/15 00:09:30,62.08,16.24,75.7
21,07/30/15 00:10:00,62.08,16.24,75.7
22,07/30/15 00:10:30,62.15,16.23,75.8
23,07/30/15 00:11:00,62.15,16.23,75.8
24,07/30/15 00:11:30,62.08,16.24,75.7
25,07/30/15 00:12:00,62.08,16.23,75.7
26,07/30/15 00:12:30,62.08,16.23,75.7
27,07/30/15 00:13:00,62.01,16.23,75.6
28,07/30/15 00:13:30,62.08,16.21,75.7
29,07/30/15 00:14:00,62.08,16.21,75.7
30,07/30/15 00:14:30,62.01,16.21,75.6
31,07/30/15 00:15:00,62.01,16.21,75.6
32,07/30/15 00:15:30,62.01,16.20,75.6
33,07/30/15 00:16:00,62.08,16.21,75.7
34,07/30/15 00:16:30,62.01,16.20,75.6
35,07/30/15 00:17:00,62.01,16.20,75.6
36,07/30/15 00:17:30,62.01,16.20,75.6
37,07/30/15 00:18:00,62.08,16.20,75.7
38,07/30/15 00:18:30,62.01,16.17,75.7
39,07/30/15 00:19:00,62.01,16.19,75.7
40,07/30/15 00:19:30,62.01,16.19,75.7
41,07/30/15 00:20:00,62.01,16.19,75.7
42,07/30/15 00:20:30,62.01,16.17,75.7
43,07/30/15 00:21:00,62.01,16.19,75.7
44,07/30/15 00:21:30,62.01,16.19,75.7
45,07/30/15 00:22:00,62.01,16.17,75.7
46,07/30/15 00:22:30,62.01,16.17,75.7
47,07/30/15 00:23:00,61.94,16.16,75.6
48,07/30/15 00:23:30,62.01,16.17,75.7
49,07/30/15 00:24:00,62.01,16.16,75.7
50,07/30/15 00:24:30,62.01,16.15,75.7
51,07/30/15 00:25:00,62.01,16.15,75.7
52,07/30/15 00:25:30,62.01,16.15,75.7
53,07/30/15 00:26:00,61.94,16.15,75.7
54,07/30/15 00:26:30,61.94,16.14,75.7
55,07/30/15 00:27:00,62.01,16.15,75.7
56,07/30/15 00:27:30,62.01,16.14,75.8
57,07/30/15 00:28:00,61.94,16.14,75.7
58,07/30/15 00:28:30,61.94,16.14,75.7
59,07/30/15 00:29:00,61.87,16.12,75.6
60,07/30/15 00:29:30,61.94,16.12,75.7
61,07/30/15 00:30:00,62.01,16.12,75.8
62,07/30/15 00:30:30,62.01,16.12,75.8
63,07/30/15 00:31:00,61.94,16.12,75.7
64,07/30/15 00:31:30,61.94,16.12,75.7
65,07/30/15 00:32:00,61.94,16.12,75.7
66,07/30/15 00:32:30,61.94,16.11,75.7
67,07/30/15 00:33:00,61.94,16.11,75.7
68,07/30/15 00:33:30,61.94,16.11,75.7
69,07/30/15 00:34:00,61.94,16.11,75.7
70,07/30/15 00:34:30,61.94,16.11,75.7
71,07/30/15 00:35:00,61.87,16.11,75.6
72,07/30/15 00:35:30,61.87,16.10,75.7
73,07/30/15 00:36:00,61.94,16.10,75.7
74,07/30/15 00:36:30,61.94,16.08,75.8
75,07/30/15 00:37:00,61.87,16.10,75.7
76,07/30/15 00:37:30,61.80,16.10,75.6
77,07/30/15 00:38:00,61.87,16.08,75.7
78,07/30/15 00:38:30,61.87,16.08,75.7
79,07/30/15 00:39:00,61.87,16.08,75.7
80,07/30/15 00:39:30,61.87,16.08,75.7
81,07/30/15 00:40:00,61.87,16.08,75.7
82,07/30/15 00:40:30,61.80,16.07,75.6
83,07/30/15 00:41:00,61.80,16.07,75.6
84,07/30/15 00:41:30,61.80,16.07,75.6
85,07/30/15 00:42:00,61.95,16.07,75.8
86,07/30/15 00:42:30,61.87,16.07,75.7
87,07/30/15 00:43:00,61.87,16.07,75.7
88,07/30/15 00:43:30,61.80,16.07,75.6
89,07/30/15 00:44:00,61.80,16.07,75.6
90,07/30/15 00:44:30,61.80,16.06,75.7
91,07/30/15 00:45:00,61.80,16.06,75.7
92,07/30/15 00:45:30,61.80,16.06,75.7
93,07/30/15 00:46:00,61.80,16.06,75.7
94,07/30/15 00:46:30,61.80,16.06,75.7
95,07/30/15 00:47:00,61.73,16.06,75.6
96,07/30/15 00:47:30,61.81,16.04,75.7
97,07/30/15 00:48:00,61.81,16.04,75.7
98,07/30/15 00:48:30,61.81,16.04,75.7
99,07/30/15 00:49:00,61.81,16.04,75.7
100,07/30/15 00:49:30,61.81,16.04,75.7
101,07/30/15 00:50:00,61.81,16.03,75.7
102,07/30/15 00:50:30,61.81,16.04,75.7
103,07/30/15 00:51:00,61.81,16.03,75.7
104,07/30/15 00:51:30,61.74,16.03,75.6
105,07/30/15 00:52:00,61.74,16.03,75.6
106,07/30/15 00:52:30,61.81,16.03,75.7
107,07/30/15 00:53:00,61.81,16.03,75.7
108,07/30/15 00:53:30,61.74,16.03,75.6
109,07/30/15 00:54:00,61.81,16.02,75.7
110,07/30/15 00:54:30,61.81,16.02,75.7
111,07/30/15 00:55:00,61.81,16.02,75.7
112,07/30/15 00:55:30,61.81,16.02,75.7
113,07/30/15 00:56:00,61.81,16.02,75.7
114,07/30/15 00:56:30,61.74,16.00,75.7
115,07/30/15 00:57:00,61.74,16.00,75.7
116,07/30/15 00:57:30,61.81,16.02,75.7
117,07/30/15 00:58:00,61.74,16.02,75.6
118,07/30/15 00:58:30,61.74,16.00,75.7
119,07/30/15 00:59:00,61.74,16.00,75.7
120,07/30/15 00:59:30,61.74,16.00,75.7
121,07/30/15 01:00:00,61.74,16.00,75.7
122,07/30/15 01:00:30,61.74,16.00,75.7
123,07/30/15 01:01:00,61.74,16.00,75.7
124,07/30/15 01:01:30,61.74,16.00,75.7
125,07/30/15 01:02:00,61.74,16.00,75.7
126,07/30/15 01:02:30,61.74,16.00,75.7
127,07/30/15 01:03:00,61.74,15.99,75.7
128,07/30/15 01:03:30,61.74,16.00,75.7
